item_id,order_id,product_id,quantity,unit_price,discount,total_price
1,1,26,2,10127.54,0.27,14786.21
2,2,51,1,14015.23,0.27,10231.12
3,3,66,1,61904.99,0.21,48904.94
4,4,35,1,64193.11,0.05,60983.45
5,5,18,3,19214.13,0.18,47266.76
6,6,62,4,14280.44,0.28,41127.67
7,6,28,4,75765.07,0.28,218203.4
8,6,25,2,61384.76,0.28,88394.05
9,6,61,1,83999.02,0.28,60479.29
10,7,71,1,11556.35,0.25,8667.26
11,8,17,2,36163.71,0.12,63648.13
12,9,9,1,7183.14,0.22,5602.85
13,9,62,2,14280.44,0.22,22277.49
14,9,66,2,61904.99,0.22,96571.78
15,10,53,2,82751.9,0.03,160538.69
16,10,47,3,83379.39,0.03,242634.02
17,11,56,3,3671.78,0.23,8481.81
18,11,6,4,62861.73,0.23,193614.13
19,12,48,4,19314.88,0.01,76486.92
20,13,29,4,48589.17,0.07,180751.71
21,13,17,4,36163.71,0.07,134529.0
22,14,21,3,89758.59,0.18,220806.13
23,14,31,4,21625.76,0.18,70932.49
24,15,56,4,3671.78,0.24,11162.21
25,15,77,1,70883.97,0.24,53871.82
26,15,4,1,2484.58,0.24,1888.28
27,16,19,3,12943.16,0.11,34558.24
28,16,6,3,62861.73,0.11,167840.82
29,17,60,3,89648.07,0.1,242049.79
30,18,69,3,49695.07,0.13,129704.13
31,19,61,2,83999.02,0.06,157918.16
32,19,66,4,61904.99,0.06,232762.76
33,19,63,3,802.3,0.06,2262.49
34,19,50,1,38127.37,0.06,35839.73
35,20,44,1,17322.95,0.03,16803.26
36,20,69,3,49695.07,0.03,144612.65
37,21,35,2,64193.11,0.18,105276.7
38,21,37,3,1989.98,0.18,4895.35
39,22,42,3,31950.35,0.12,84348.92
40,22,31,3,21625.76,0.12,57092.01
41,22,73,2,70231.45,0.12,123607.35
42,22,25,3,61384.76,0.12,162055.77
43,23,53,3,82751.9,0.27,181226.66
44,23,36,4,80974.31,0.27,236444.99
45,24,25,2,61384.76,0.11,109264.87
46,24,79,3,20139.83,0.11,53773.35
47,25,47,3,83379.39,0.04,240132.64
48,26,60,2,89648.07,0.15,152401.72
49,27,38,2,63733.9,0.22,99424.88
50,28,44,2,17322.95,0.03,33606.52
51,29,64,4,84508.81,0.25,253526.43
52,29,48,4,19314.88,0.25,57944.64
53,29,32,3,65897.49,0.25,148269.35
54,30,59,3,83617.75,0.1,225767.93
55,30,69,1,49695.07,0.1,44725.56
56,30,44,3,17322.95,0.1,46771.97
57,30,19,1,12943.16,0.1,11648.84
58,31,71,2,11556.35,0.04,22188.19
59,31,51,3,14015.23,0.04,40363.86
60,31,1,4,57583.47,0.04,221120.52
61,31,9,4,7183.14,0.04,27583.26
62,32,71,4,11556.35,0.14,39753.84
63,32,75,2,79338.32,0.14,136461.91
64,32,36,3,80974.31,0.14,208913.72
65,32,66,1,61904.99,0.14,53238.29
66,33,63,4,802.3,0.22,2503.18
67,33,77,4,70883.97,0.22,221157.99
68,33,14,3,57183.55,0.22,133809.51
69,33,61,1,83999.02,0.22,65519.24
70,34,16,3,75871.39,0.1,204852.75
71,35,7,3,9287.7,0.03,27027.21
72,35,6,1,62861.73,0.03,60975.88
73,35,9,3,7183.14,0.03,20902.94
74,36,13,4,60347.75,0.05,229321.45
75,37,73,1,70231.45,0.14,60399.05
76,38,44,3,17322.95,0.25,38976.64
77,39,31,2,21625.76,0.2,34601.22
78,40,78,3,20095.79,0.2,48229.9
79,41,46,3,8900.99,0.13,23231.58
80,41,31,2,21625.76,0.13,37628.82
81,41,20,2,67255.54,0.13,117024.64
82,41,3,4,38029.77,0.13,132343.6
83,42,79,1,20139.83,0.15,17118.86
84,43,12,4,40860.59,0.01,161807.94
85,43,74,1,83325.17,0.01,82491.92
86,43,79,1,20139.83,0.01,19938.43
87,43,35,2,64193.11,0.01,127102.36
88,44,29,2,48589.17,0.18,79686.24
89,44,31,2,21625.76,0.18,35466.25
90,44,59,2,83617.75,0.18,137133.11
91,45,1,2,57583.47,0.2,92133.55
92,46,56,4,3671.78,0.17,12190.31
93,46,75,4,79338.32,0.17,263403.22
94,47,13,1,60347.75,0.29,42846.9
95,48,57,4,28540.65,0.07,106171.22
96,48,20,4,67255.54,0.07,250190.61
97,49,35,2,64193.11,0.17,106560.56
98,50,63,3,802.3,0.18,1973.66
99,50,56,3,3671.78,0.18,9032.58
100,50,68,1,69422.62,0.18,56926.55
101,51,79,4,20139.83,0.14,69281.02
102,51,50,2,38127.37,0.14,65579.08
103,52,10,4,52002.96,0.03,201771.48
104,53,52,2,5579.09,0.1,10042.36
105,54,46,4,8900.99,0.14,30619.41
106,55,38,2,63733.9,0.02,124918.44
107,56,61,1,83999.02,0.25,62999.26
108,57,73,1,70231.45,0.28,50566.64
109,57,32,4,65897.49,0.28,189784.77
110,58,3,3,38029.77,0.05,108384.84
111,58,50,3,38127.37,0.05,108663.0
112,59,63,4,802.3,0.24,2438.99
113,60,55,4,36398.42,0.13,126666.5
114,60,12,3,40860.59,0.13,106646.14
115,61,35,3,64193.11,0.13,167544.02
116,62,34,2,78530.73,0.06,147637.77
117,62,62,2,14280.44,0.06,26847.23
118,62,21,1,89758.59,0.06,84373.07
119,62,22,4,77512.15,0.06,291445.68
120,63,30,1,29240.63,0.17,24269.72
121,64,21,1,89758.59,0.1,80782.73
122,64,12,3,40860.59,0.1,110323.59
123,65,33,4,11641.39,0.16,39115.07
124,66,19,4,12943.16,0.12,45559.92
125,67,24,2,22701.13,0.19,36775.83
126,68,22,1,77512.15,0.28,55808.75
127,68,67,2,8396.63,0.28,12091.15
128,69,80,2,87022.33,0.04,167082.87
129,69,7,3,9287.7,0.04,26748.58
130,69,74,4,83325.17,0.04,319968.65
131,70,22,1,77512.15,0.04,74411.66
132,70,31,1,21625.76,0.04,20760.73
133,70,3,1,38029.77,0.04,36508.58
134,70,26,3,10127.54,0.04,29167.32
135,71,23,4,53716.17,0.12,189080.92
136,71,69,3,49695.07,0.12,131194.98
137,71,16,2,75871.39,0.12,133533.65
138,72,24,2,22701.13,0.28,32689.63
139,73,42,1,31950.35,0.09,29074.82
140,73,22,1,77512.15,0.09,70536.06
141,73,35,4,64193.11,0.09,233662.92
142,74,7,4,9287.7,0.02,36407.78
143,75,17,2,36163.71,0.24,54968.84
144,76,48,4,19314.88,0.12,67988.38
145,76,74,2,83325.17,0.12,146652.3
146,76,36,4,80974.31,0.12,285029.57
147,77,15,2,24367.31,0.15,41424.43
148,78,78,1,20095.79,0.09,18287.17
149,79,49,2,88678.27,0.23,136564.54
150,80,59,4,83617.75,0.16,280955.64
151,81,51,4,14015.23,0.25,42045.69
152,81,71,4,11556.35,0.25,34669.05
153,82,67,4,8396.63,0.23,25861.62
154,82,46,3,8900.99,0.23,20561.29
155,82,78,4,20095.79,0.23,61895.03
156,82,74,2,83325.17,0.23,128320.76
157,83,64,1,84508.81,0.03,81973.55
158,83,17,2,36163.71,0.03,70157.6
159,84,48,3,19314.88,0.26,42879.03
160,85,53,4,82751.9,0.13,287976.61
161,86,48,1,19314.88,0.24,14679.31
162,87,26,1,10127.54,0.18,8304.58
163,88,19,4,12943.16,0.24,39347.21
164,89,18,2,19214.13,0.08,35354.0
165,89,39,2,6469.08,0.08,11903.11
166,89,51,1,14015.23,0.08,12894.01
167,90,57,4,28540.65,0.09,103887.97
168,90,33,4,11641.39,0.09,42374.66
169,90,63,3,802.3,0.09,2190.28
170,90,52,2,5579.09,0.09,10153.94
171,91,54,2,76634.69,0.3,107288.57
172,91,7,2,9287.7,0.3,13002.78
173,92,13,1,60347.75,0.28,43450.38
174,92,38,3,63733.9,0.28,137665.22
175,92,48,4,19314.88,0.28,55626.85
176,93,56,3,3671.78,0.26,8151.35
177,93,10,4,52002.96,0.26,153928.76
178,93,77,1,70883.97,0.26,52454.14
179,93,38,4,63733.9,0.26,188652.34
180,94,43,2,5548.08,0.23,8544.04
181,95,65,2,14073.77,0.19,22799.51
182,96,13,2,60347.75,0.19,97763.36
183,97,72,1,80912.32,0.22,63111.61
184,97,35,1,64193.11,0.22,50070.63
185,98,67,1,8396.63,0.1,7556.97
186,98,48,4,19314.88,0.1,69533.57
187,99,79,3,20139.83,0.03,58606.91
188,99,59,3,83617.75,0.03,243327.65
189,100,7,1,9287.7,0.11,8266.05
190,101,63,1,802.3,0.29,569.63
191,101,56,1,3671.78,0.29,2606.96
192,101,66,2,61904.99,0.29,87905.09
193,102,49,2,88678.27,0.25,133017.4
194,102,43,2,5548.08,0.25,8322.12
195,102,57,2,28540.65,0.25,42810.98
196,102,35,1,64193.11,0.25,48144.83
197,103,36,2,80974.31,0.26,119841.98
198,103,51,1,14015.23,0.26,10371.27
199,104,2,2,66307.76,0.01,131289.36
200,105,73,2,70231.45,0.04,134844.38
201,106,20,3,67255.54,0.3,141236.63
202,106,55,2,36398.42,0.3,50957.79
203,107,9,2,7183.14,0.26,10631.05
204,108,34,2,78530.73,0.03,152349.62
