order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,delivery_status,shipping_cost
1,BlueDart,TRK4812147853,2024-03-15,2024-03-22,2024-03-22,Delivered,202.21
2,Delhivery,TRK9078956776,2022-02-14,2022-02-17,2022-02-20,Delivered,56.69
3,Delhivery,TRK6575460273,2022-10-07,2022-10-11,2022-10-14,Delivered,104.51
4,FedEx India,TRK4151488814,2023-07-12,2023-07-18,2023-07-19,Delivered,62.33
5,DTDC,TRK3111508353,2022-11-22,2022-11-28,2022-11-29,Delivered,247.98
6,DTDC,TRK5444392840,2024-04-22,2024-04-26,,Shipped,147.52
7,FedEx India,TRK4456690782,2022-06-19,2022-06-23,2022-06-24,Delivered,60.95
11,DTDC,TRK6333738987,2024-05-10,2024-05-14,2024-05-14,Delivered,110.73
12,Delhivery,TRK7515366377,2023-09-04,2023-09-10,2023-09-09,Delivered,40.88
14,Ekart,TRK8052924075,2023-01-21,2023-01-24,2023-01-24,Delivered,87.14
16,DTDC,TRK5366684590,2022-03-18,2022-03-23,2022-03-25,Delivered,196.15
17,Ekart,TRK9022599996,2023-10-13,2023-10-17,2023-10-18,Delivered,56.55
18,BlueDart,TRK6361863715,2022-04-07,2022-04-14,2022-04-13,Delivered,213.47
19,BlueDart,TRK9741218209,2022-10-07,2022-10-11,2022-10-14,Delivered,225.34
20,BlueDart,TRK7023164334,2023-07-27,2023-07-30,2023-08-01,Delivered,124.53
21,Delhivery,TRK8170580256,2023-01-01,2023-01-08,2023-01-07,Delivered,218.46
22,Ekart,TRK6212867163,2024-06-06,2024-06-10,2024-06-12,Delivered,150.71
23,BlueDart,TRK2346729949,2022-03-30,2022-04-05,,Shipped,173.33
24,DTDC,TRK3874302716,2023-08-12,2023-08-19,2023-08-21,Delivered,207.93
25,FedEx India,TRK9385977790,2022-10-04,2022-10-09,2022-10-09,Delivered,139.46
26,Delhivery,TRK1475469263,2023-03-24,2023-03-31,2023-04-01,Delivered,103.58
27,Ekart,TRK2967629160,2023-01-06,2023-01-10,2023-01-10,Delivered,207.84
28,FedEx India,TRK3248413768,2023-09-04,2023-09-11,,Shipped,71.33
36,Delhivery,TRK1511856724,2022-07-27,2022-08-02,2022-08-02,Delivered,192.08
